"playlistName","numFollowers","numSongs","avgPopularity","avgSongLen","maxSongLen","minSongLen"
595cY5S1FpMpiEIWsk6dG7,773546,48,54.083333333333336,241123.89583333334,393027.0,41455.0
37i9dQZF1DWYtQSOiZF6hj,113105,31,38.064516129032256,218528.67741935485,356707.0,44987.0
37i9dQZF1DWXjj6kdiviS0,135123,50,28.54,287930.18,1078507.0,96120.0
37i9dQZF1DX2apWzyECwyZ,1772996,50,66.52,257576.52,517810.0,127040.0
37i9dQZF1DX08mhnhv6g9b,1739603,50,61.52,235652.88,307676.0,112607.0
37i9dQZF1DX2MJVTOdWtbm,27791,50,41.46,216838.46,323077.0,156500.0
37i9dQZF1DWSxaFwRXIXnt,21876,57,34.73684210526316,343569.6666666667,483920.0,204000.0
37i9dQZF1DWX4UAnLC6Pj3,543126,50,53.72,198012.84,281400.0,139320.0
37i9dQZF1DXbADqT0j1Cxt,226875,52,58.61538461538461,208346.4423076923,310147.0,76779.0
37i9dQZF1DXbR32Ldau7WM,65252,51,31.80392156862745,223759.6274509804,485880.0,98200.0
37i9dQZF1DX6VDO8a6cQME,1716810,50,54.54,270851.96,349560.0,204133.0
37i9dQZF1DXe5Q8muTQked,836047,83,28.313253012048193,192467.0,498334.0,100133.0
37i9dQZF1DXdPec7aLTmlC,3062898,59,66.57627118644068,194458.7627118644,260000.0,152862.0
37i9dQZF1DX7cmFV9rWM0u,1221437,51,67.54901960784314,198811.431372549,292160.0,135023.0
37i9dQZF1DWYMvTygsLWlG,722397,50,53.08,233625.98,371320.0,153829.0
37i9dQZF1DXd14ByHZraz1,377070,53,51.490566037735846,189472.18867924527,247869.0,130176.0
37i9dQZF1DWXXQuxfjYVxb,278679,40,65.275,206755.45,303077.0,129045.0
37i9dQZF1DX7SEhw42DW5b,26601,66,54.34848484848485,181602.74242424243,260088.0,136406.0
37i9dQZF1DXadOVCgGhS7j,372518,66,40.54545454545455,219462.62121212122,326187.0,137947.0
37i9dQZF1DX7i7SKKuAK4o,259065,50,66.96,232167.62,358627.0,174800.0
37i9dQZF1DX7W8clhriSJV,175791,27,27.0,185038.74074074073,243300.0,127567.0
37i9dQZF1DX9DHKgiu5R9j,176155,37,43.83783783783784,226592.9189189189,286787.0,172627.0
6UeSakyzhiEt4NB3UAd6NQ,1904838,100,78.95,196586.6,312820.0,94246.0
37i9dQZF1DX0hvSv9Rf41p,403756,50,47.0,217865.16,369280.0,122107.0
37i9dQZF1DX4JbuQ72y8Ek,241171,50,42.5,216171.76,290800.0,169027.0
